time,v2i static,v2i dynamic,cctv static,cctv dynamic
23642,0.0,442.2250000000001,0.0,1401.2799999999997
23643,0.0,442.2250000000001,0.0,1401.2799999999997
23644,0.0,442.2250000000001,0.0,1401.2799999999997
23645,0.0,432.5148000000001,0.0,1401.2799999999997
23646,0.0,432.5148000000001,0.0,1401.2799999999997
23647,0.0,434.5720000000001,0.0,1401.2799999999997
23648,0.0,426.9190000000001,0.0,1401.2799999999997
23649,0.0,426.91900000000004,0.0,1401.2799999999997
23650,0.0,419.2660000000001,0.0,1401.2799999999997
23651,0.0,419.2660000000001,0.0,1401.2799999999997
23652,0.0,420.2946,0.0,1401.2799999999997
23653,0.0,420.2946,0.0,1401.2799999999997
23654,0.0,411.61300000000006,0.0,1401.28
23655,0.0,411.61300000000006,0.0,1401.28
23656,0.0,400.8742000000001,0.0,1401.28
23657,0.0,411.613,0.0,1401.28
23658,0.0,411.61300000000006,0.0,1401.28
23659,0.0,432.06200000000007,0.0,1401.28
23660,0.0,422.3518000000001,0.0,1401.28
23661,0.0,442.80080000000004,0.0,1401.28
23662,0.0,454.56820000000005,0.0,1401.28
23663,0.0,454.56820000000005,0.0,1401.28
23664,0.0,455.59680000000014,0.0,1401.28
23665,0.0,479.13160000000016,0.0,1401.28
23666,0.0,470.45000000000016,0.0,1401.28
23667,0.0,470.45000000000016,0.0,1401.28
23668,0.0,470.45000000000016,0.0,1401.28
23669,0.0,470.45000000000016,0.0,1401.28
23670,0.0,470.45000000000016,0.0,1401.28
23671,0.0,459.71120000000013,0.0,1401.28
23672,0.0,459.71120000000013,0.0,1401.28
23673,0.0,459.71120000000013,0.0,1401.28
23674,0.0,459.71120000000013,0.0,1401.28
23675,0.0,459.71120000000013,0.0,1401.28
23676,0.0,469.4214000000001,0.0,1401.28
23677,0.0,469.4214000000001,0.0,1401.28
23678,0.0,469.4214000000001,0.0,1401.28
23679,0.0,469.4214000000001,0.0,1401.28
23680,0.0,479.1316000000001,0.0,1401.28
23681,0.0,479.1316000000001,0.0,1401.28
23682,0.0,479.1316000000001,0.0,1401.28
23683,0.0,479.1316000000001,0.0,1401.28
23684,0.0,489.87040000000013,0.0,1401.28
23685,0.0,502.6664000000002,0.0,1401.28
23686,0.0,502.6664000000002,0.0,1401.28
23687,0.0,479.1316000000001,0.0,1401.28
23688,0.0,479.1316000000001,0.0,1401.28
23689,0.0,469.4214000000001,0.0,1401.28
