time,taxis
76686,132
76687,133
76688,134
76689,135
76690,137
76691,136
76692,136
76693,135
76694,133
76695,132
76696,134
76697,134
76698,132
76699,132
76700,134
76701,134
76702,135
76703,136
76704,136
76705,136
76706,135
76707,136
76708,138
76709,139
76710,141
76711,142
76712,142
76713,145
76714,142
76715,142
76716,142
76717,141
76718,140
76719,141
76720,141
76721,138
76722,138
76723,138
76724,140
76725,139
76726,139
76727,137
76728,138
76729,138
76730,139
76731,139
76732,139
76733,137
76734,137
76735,137
76736,136
76737,135
76738,133
76739,135
76740,132
76741,131
76742,132
76743,131
76744,131
76745,132
76746,131
76747,132
76748,130
76749,128
76750,129
76751,130
76752,131
76753,130
76754,130
76755,132
76756,134
76757,135
76758,136
76759,136
76760,135
76761,135
76762,136
76763,137
76764,137
76765,137
76766,137
76767,136
76768,136
76769,138
76770,141
76771,142
76772,139
76773,138
76774,136
76775,135
76776,136
76777,134
76778,135
76779,135
76780,134
76781,135
76782,134
76783,133
76784,133
76785,131
76786,131
76787,130
76788,128
76789,129
76790,131
76791,129
76792,129
76793,126
76794,127
76795,130
76796,131
76797,131
76798,132
76799,131
76800,131
76801,130
76802,129
76803,130
76804,131
76805,131
76806,130
76807,129
76808,130
76809,131
76810,131
76811,134
76812,135
76813,134
76814,133
76815,132
76816,133
76817,133
76818,132
76819,135
76820,136
76821,135
76822,134
76823,136
76824,134
76825,135
76826,135
76827,134
76828,136
76829,138
76830,138
76831,137
76832,138
76833,139
76834,139
76835,141
76836,142
76837,142
76838,144
76839,143
76840,142
76841,145
76842,142
76843,144
76844,144
76845,144
76846,145
76847,147
76848,147
76849,147
76850,146
76851,146
76852,148
76853,147
76854,146
76855,147
76856,146
76857,146
76858,147
76859,147
76860,145
76861,146
76862,144
76863,145
76864,146
76865,145
76866,149
76867,150
76868,150
76869,150
76870,151
76871,150
76872,149
76873,151
76874,150
76875,151
76876,151
76877,152
76878,150
76879,151
76880,151
76881,150
76882,149
76883,150
76884,150
76885,148
76886,150
76887,147
76888,147
76889,148
76890,146
76891,146
76892,146
76893,147
76894,147
76895,148
76896,151
76897,153
76898,152
76899,152
76900,153
76901,154
76902,152
76903,152
76904,152
76905,152
76906,152
76907,152
76908,152
76909,150
76910,151
76911,151
76912,150
76913,150
76914,149
76915,148
76916,147
76917,146
76918,145
76919,146
76920,146
76921,146
76922,145
76923,144
76924,141
76925,142
76926,141
76927,142
76928,142
76929,142
76930,142
76931,142
76932,141
76933,141
76934,141
76935,139
76936,139
76937,137
76938,136
76939,136
76940,137
76941,138
76942,139
76943,138
76944,134
76945,133
76946,134
76947,132
76948,132
76949,134
76950,133
76951,135
76952,133
76953,132
76954,131
